Question_Text,Answer_1,Answer_2,Answer_3,Answer_4,Correct_Answer,Category
"What is the capital of Canada?","Toronto","Ottawa","Vancouver","Montreal",2,1
"Which country is known as the Land of the Rising Sun?","South Korea","China","Japan","Thailand",3,1
"What is the smallest prime number?","0","1","2","3",3,1
"Who painted the Mona Lisa?","Vincent van Gogh","Claude Monet","Pablo Picasso","Leonardo da Vinci",4,1
"What is the chemical symbol for water?","H2O","O2","CO2","N2",1,1
"Which planet is closest to the sun?","Venus","Mars","Mercury","Earth",3,1
"Who wrote 'Pride and Prejudice'?","Jane Austen","Charlotte Bronte","Emily Bronte","Mary Shelley",1,1
"In what year did the Titanic sink?","1910","1912","1914","1916",2,1
"Who discovered penicillin?","Marie Curie","Louis Pasteur","Alexander Fleming","Isaac Newton",3,1
"What is the largest planet in our solar system?","Earth","Mars","Jupiter","Saturn",3,1
"Which ocean is the largest?","Atlantic","Indian","Arctic","Pacific",4,1
"What is the freezing point of water in Celsius?","0","32","100","-1",1,1
"Which city hosted the 2012 Summer Olympics?","Beijing","London","Rio de Janeiro","Tokyo",2,1
"Who is the author of 'To Kill a Mockingbird'?","Harper Lee","F. Scott Fitzgerald","Ernest Hemingway","Mark Twain",1,1
"What is the main ingredient in sushi?","Fish","Rice","Seaweed","Soy Sauce",2,1
"What is the capital of Australia?","Sydney","Melbourne","Canberra","Brisbane",3,1
"What is the square root of 64?","6","7","8","9",3,1
"In which country is the Great Pyramid of Giza located?","Mexico","India","China","Egypt",4,1
"Which element does 'O' represent on the periodic table?","Oxygen","Gold","Silver","Iron",1,1
"Who was the first man to walk on the moon?","Yuri Gagarin","Buzz Aldrin","Neil Armstrong","Michael Collins",3,1
"Which organ in the human body produces insulin?","Liver","Kidney","Pancreas","Spleen",3,2
"Who wrote the novel 'Moby-Dick'?","Herman Melville","Nathaniel Hawthorne","Edgar Allan Poe","Mark Twain",1,2
"What is the hardest natural substance on Earth?","Gold","Diamond","Iron","Granite",2,2
"Which country did Czechoslovakia peacefully split into in 1993?","Poland and Slovakia","Slovakia and Hungary","Czech Republic and Hungary","Czech Republic and Slovakia",4,2
"What is the largest mammal in the world?","Elephant","Blue Whale","Giraffe","Hippopotamus",2,2
"What is the main gas found in the air we breathe?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen",2,2
"Which organ is responsible for pumping blood?","Liver","Brain","Heart","Kidney",3,2
"What is the capital of Mongolia?","Ulan Bator","Astana","Tashkent","Bishkek",1,2
"Who composed the opera 'The Marriage of Figaro'?","Ludwig van Beethoven","Johann Sebastian Bach","Wolfgang Amadeus Mozart","Franz Schubert",3,2
"Which metal is liquid at room temperature?","Mercury","Lead","Zinc","Iron",1,2
"In which year did World War II end?","1943","1945","1947","1950",2,2
"Which French artist painted 'Impression, Sunrise'?","Claude Monet","Edgar Degas","Édouard Manet","Paul Cézanne",1,2
"Which planet has the shortest day in our solar system?","Earth","Jupiter","Saturn","Mars",2,2
"Who was the last Tsar of Russia?","Nicholas I","Alexander II","Nicholas II","Peter the Great",3,2
"What is the longest river in the world?","Amazon","Nile","Yangtze","Mississippi",2,2
"Which gas is used in electric bulbs?","Oxygen","Helium","Argon","Hydrogen",3,2
"Which country is the Eiffel Tower located in?","Italy","Spain","France","Germany",3,2
"Which treaty ended World War I?","Treaty of Versailles","Treaty of Paris","Treaty of Westphalia","Treaty of Utrecht",1,2
"Who discovered the electron?","Isaac Newton","Albert Einstein","J.J. Thomson","James Clerk Maxwell",3,3
"In Greek mythology, who is the god of the underworld?","Zeus","Poseidon","Hades","Apollo",3,3
"What is the smallest bone in the human body?","Femur","Stapes","Ulna","Tibia",2,3
"Which is the longest bone in the human body?","Femur","Tibia","Humerus","Fibula",1,3
"Which organ in the human body is responsible for filtering blood?","Liver","Kidney","Heart","Lungs",2,3
"In which year did the Berlin Wall fall?","1987","1989","1991","1993",2,3
"Which mathematician is known for his work on the theory of probability?","Isaac Newton","Blaise Pascal","Carl Gauss","Leonhard Euler",2,3
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn",2,3
"What is the main ingredient in traditional French ratatouille?","Eggplant","Zucchini","Tomato","Onion",3,3
"Which Italian city is famous for its canals?","Rome","Milan","Venice","Naples",3,3
"What is the longest river in Europe?","Danube","Volga","Rhine","Seine",2,3
"Who composed the 9th Symphony, also known as the 'Ode to Joy'?","Johann Sebastian Bach","Franz Schubert","Ludwig van Beethoven","Joseph Haydn",3,3
"What is the capital of North Korea?","Seoul","Pyongyang","Beijing","Tokyo",2,3
"In which city was the United Nations founded in 1945?","New York","San Francisco","Washington D.C.","Geneva",2,3
"Who painted the ceiling of the Sistine Chapel?","Leonardo da Vinci","Vincent van Gogh","Michelangelo","Raphael",3,3
"Which economist introduced the concept of the 'invisible hand'?","Adam Smith","John Maynard Keynes","Karl Marx","David Ricardo",1,3
"In which year did the first manned moon landing occur?","1965","1967","1969","1971",3,3
"Which country is the largest by area?","China","USA","Canada","Russia",4,3
"What is the main ingredient in Greek tzatziki sauce?","Yogurt","Cucumber","Garlic","Olive Oil",1,3
"Which physicist is known for his uncertainty principle?","Albert Einstein","Niels Bohr","Werner Heisenberg","Max Planck",3,4
"Who discovered the law of universal gravitation?","Albert Einstein","Galileo Galilei","Isaac Newton","Johannes Kepler",3,4
"What is the chemical formula for table salt?","NaCl","KCl","CaCl2","MgCl2",1,4
"Who was the first woman to fly solo across the Atlantic Ocean?","Amelia Earhart","Bessie Coleman","Harriet Quimby","Amy Johnson",1,4
"Which organ is the primary site of nutrient absorption in the human body?","Stomach","Liver","Small Intestine","Large Intestine",3,4
"Who developed the first successful polio vaccine?","Albert Sabin","Robert Koch","Louis Pasteur","Jonas Salk",4,4
"What is the brightest star in the night sky?","Betelgeuse","Rigel","Sirius","Vega",3,4
"What is the rarest blood type in humans?","A","B","AB","O",3,4
"Which country is the top producer of coffee in the world?","Vietnam","Colombia","Ethiopia","Brazil",4,4
"In which year did the French Revolution begin?","1787","1789","1791","1793",2,4
"What was the original name of New York City?","New Amsterdam","New London","New Rotterdam","New Utrecht",1,4
"What is the distance between the Earth and the Sun?","150 million km","100 million km","200 million km","250 million km",1,4
"What is the brightest planet in the night sky?","Mars","Jupiter","Venus","Saturn",3,4
"Which organ in the human body stores bile?","Pancreas","Liver","Gallbladder","Spleen",3,4
"In which country was the first modern Olympic Games held?","Italy","France","Greece","Germany",3,4
"Which Shakespearean play features the characters Rosencrantz and Guildenstern?","Macbeth","Othello","Hamlet","King Lear",3,4
"Which element has the highest atomic number?","Uranium","Plutonium","Californium","Oganesson",4,4
"Which mathematician is known for his work on the theory of relativity?","Isaac Newton","Albert Einstein","Carl Gauss","Leonhard Euler",2,4
"Which composer wrote 'The Four Seasons'?","Johann Sebastian Bach","Wolfgang Amadeus Mozart","Ludwig van Beethoven","Antonio Vivaldi",4,4
"Which country has the longest coastline in the world?","Australia","USA","Canada","Russia",3,4
"In which year was the first successful heart transplant performed?","1962","1965","1967","1970",3,4
"Which ancient civilization built the city of Petra?","Roman","Nabatean","Egyptian","Greek",2,4
